id,date,store_nbr,family,sales,onpromotion
2326499,2016-08-01,36,SEAFOOD,1.0,0
2325385,2016-07-31,6,CLEANING,1651.0,10
2726162,2017-03-14,5,SEAFOOD,5.434,0
440433,2013-09-05,17,HOME AND KITCHEN I,0.0,0
2709614,2017-03-05,36,HOME APPLIANCES,0.0,0
2032158,2016-02-18,28,HOME CARE,192.0,1
1492512,2015-04-20,36,LINGERIE,1.0,0
1040217,2014-08-08,45,MEATS,2278.054,52
2114844,2016-04-04,48,CELEBRATION,16.0,1
2802247,2017-04-26,35,LADIESWEAR,0.0,0
83817,2013-02-17,10,PRODUCE,0.0,0
296753,2013-06-16,35,HOME APPLIANCES,1.0,0
981666,2014-07-06,52,HOME AND KITCHEN I,0.0,0
2329274,2016-08-03,15,BEAUTY,1.0,0
763308,2014-03-06,26,HOME CARE,104.0,0
2951166,2017-07-19,14,DELI,184.0,5
84224,2013-02-17,22,DAIRY,0.0,0
779967,2014-03-15,43,GROCERY I,2609.0,0
1252526,2014-12-05,52,FROZEN FOODS,0.0,0
348804,2013-07-15,45,PLAYERS AND ELECTRONICS,0.0,0
1044860,2014-08-11,26,HARDWARE,0.0,0
132703,2013-03-16,32,EGGS,32.0,0
1930051,2015-12-22,13,GROCERY II,27.0,0
2118115,2016-04-06,4,EGGS,138.0,0
942485,2014-06-14,53,BREAD/BAKERY,462.305,0
1546331,2015-05-20,46,HOME APPLIANCES,6.0,0
2845950,2017-05-21,11,PRODUCE,1564.031,5
1842380,2015-11-02,52,MAGAZINES,0.0,0
879147,2014-05-10,26,PLAYERS AND ELECTRONICS,0.0,0
998843,2014-07-16,34,SEAFOOD,0.0,0
791983,2014-03-22,30,HOME AND KITCHEN II,7.0,0
1978932,2016-01-19,34,LINGERIE,10.0,0
527976,2013-10-24,23,DELI,83.068,0
2245006,2016-06-16,5,HOME AND KITCHEN II,19.0,1
1641869,2015-07-13,27,LAWN AND GARDEN,5.0,0
217567,2013-05-03,13,SCHOOL AND OFFICE SUPPLIES,0.0,0
1389316,2015-02-21,40,HOME AND KITCHEN II,15.0,0
1889476,2015-11-29,24,POULTRY,560.0,0
1362879,2015-02-06,49,GROCERY I,5431.0,6
1536526,2015-05-15,21,GROCERY II,0.0,0
2658855,2017-02-05,12,GROCERY I,3187.0,28
1225402,2014-11-20,41,GROCERY II,10.0,0
2298101,2016-07-16,4,HARDWARE,2.0,0
396462,2013-08-11,33,AUTOMOTIVE,1.0,0
588822,2013-11-27,30,BEVERAGES,397.0,0
657891,2014-01-06,19,BEVERAGES,1573.0,0
1246014,2014-12-02,20,AUTOMOTIVE,0.0,0
1494011,2015-04-21,29,BEAUTY,0.0,0
2507101,2016-11-10,53,PERSONAL CARE,136.0,8
2518699,2016-11-17,3,CLEANING,1632.0,13
724005,2014-02-12,23,HOME CARE,0.0,0
2526983,2016-11-22,12,DAIRY,447.0,11
136988,2013-03-18,52,BREAD/BAKERY,0.0,0
1338032,2015-01-23,51,HARDWARE,1.0,0
1821647,2015-10-22,21,HARDWARE,2.0,0
35992,2013-01-21,19,"LIQUOR,WINE,BEER",8.0,0
1260902,2014-12-10,38,BREAD/BAKERY,552.531,2
2198931,2016-05-21,8,DELI,337.562,7
451836,2013-09-11,37,AUTOMOTIVE,9.0,0
1759947,2015-09-17,4,MEATS,271.607,0
1869290,2015-11-17,9,BREAD/BAKERY,451.0,1
2492026,2016-11-02,30,SCHOOL AND OFFICE SUPPLIES,0.0,0
1077670,2014-08-29,46,"LIQUOR,WINE,BEER",168.0,0
184964,2013-04-14,48,SEAFOOD,43.56,0
2333842,2016-08-05,42,HOME AND KITCHEN II,2.0,0
1022982,2014-07-30,12,HOME AND KITCHEN I,1.0,0
2597300,2017-01-01,35,BEAUTY,0.0,0
2222364,2016-06-04,15,GROCERY I,3353.0,28
180929,2013-04-12,35,MAGAZINES,0.0,0
2241561,2016-06-14,53,BEVERAGES,2188.0,20
505170,2013-10-11,33,CELEBRATION,0.0,0
669238,2014-01-12,36,SCHOOL AND OFFICE SUPPLIES,0.0,0
2054335,2016-03-01,5,LADIESWEAR,7.0,0
1430275,2015-03-16,4,"LIQUOR,WINE,BEER",25.0,0
2128090,2016-04-12,2,LADIESWEAR,19.0,0
1117068,2014-09-20,51,HOME CARE,326.0,0
1808134,2015-10-14,41,SCHOOL AND OFFICE SUPPLIES,0.0,0
2596854,2017-01-01,22,HOME CARE,0.0,0
2502789,2016-11-08,33,BEVERAGES,1439.0,43
2637210,2017-01-23,54,HOME AND KITCHEN I,20.0,0
2142479,2016-04-20,23,LAWN AND GARDEN,0.0,0
2758902,2017-04-02,2,BEVERAGES,4874.0,7
1877292,2015-11-22,32,LINGERIE,0.0,0
2334917,2016-08-06,23,BEAUTY,3.0,0
2034054,2016-02-19,31,AUTOMOTIVE,10.0,0
1335042,2015-01-22,18,PLAYERS AND ELECTRONICS,0.0,0
656587,2014-01-05,31,LADIESWEAR,4.0,0
2836633,2017-05-15,5,LADIESWEAR,12.0,0
2074285,2016-03-13,10,BOOKS,0.0,0
2524251,2016-11-20,35,HOME AND KITCHEN I,7.0,1
2547050,2016-12-03,25,FROZEN FOODS,147.01,1
2790921,2017-04-20,18,GROCERY I,2409.352,83
2401573,2016-09-12,42,SCHOOL AND OFFICE SUPPLIES,0.0,0
2230606,2016-06-08,46,BOOKS,0.0,0
2182643,2016-05-12,5,MAGAZINES,10.0,0
1878047,2015-11-22,53,HOME APPLIANCES,0.0,0
1125211,2014-09-25,30,EGGS,138.0,8
1537626,2015-05-15,51,MEATS,1063.717,48
2697843,2017-02-26,6,PLAYERS AND ELECTRONICS,13.0,0
454347,2013-09-12,8,BEVERAGES,1293.0,0
330808,2013-07-05,40,HOME AND KITCHEN II,0.0,0
219859,2013-05-04,28,GROCERY II,6.0,0
2629380,2017-01-19,35,CELEBRATION,1.0,0
2607463,2017-01-07,20,BABY CARE,0.0,0
2491150,2016-11-01,7,GROCERY II,38.0,0
1843166,2015-11-03,25,HOME APPLIANCES,0.0,0
2018929,2016-02-10,7,"LIQUOR,WINE,BEER",99.0,0
2971528,2017-07-30,35,EGGS,172.0,1
931564,2014-06-08,47,CLEANING,3586.0,0
2882785,2017-06-10,45,BOOKS,0.0,0
1326425,2015-01-17,26,MAGAZINES,0.0,0
1500486,2015-04-25,10,DELI,273.0,0
2741378,2017-03-23,28,BEAUTY,2.0,0
2701005,2017-02-28,44,LINGERIE,23.0,0
855767,2014-04-27,20,FROZEN FOODS,0.0,0
2814159,2017-05-03,2,HOME CARE,290.0,9
2200319,2016-05-22,46,FROZEN FOODS,386.322,3
1517615,2015-05-04,40,FROZEN FOODS,39.0,0
616630,2013-12-13,10,PERSONAL CARE,127.0,0
2661512,2017-02-06,36,PREPARED FOODS,51.124,2
1553953,2015-05-25,10,HOME AND KITCHEN II,10.0,1
2645228,2017-01-28,3,HARDWARE,2.0,0
1671664,2015-07-30,13,HOME AND KITCHEN II,11.0,0
1028524,2014-08-02,18,GROCERY II,24.0,0
2097103,2016-03-25,5,LADIESWEAR,20.0,0
2830176,2017-05-12,19,PRODUCE,321.064,2
95967,2013-02-23,51,BEVERAGES,2860.0,0
1184910,2014-10-28,6,GROCERY I,3507.0,1
1065094,2014-08-22,43,LADIESWEAR,0.0,0
1600818,2015-06-20,25,LINGERIE,5.0,0
1776755,2015-09-27,12,BEAUTY,3.0,0
2735337,2017-03-19,9,AUTOMOTIVE,20.0,0
2369581,2016-08-25,45,HOME AND KITCHEN II,43.0,1
1373519,2015-02-12,47,PET SUPPLIES,0.0,0
2061449,2016-03-05,5,BREAD/BAKERY,381.996,1
1493628,2015-04-21,18,HOME AND KITCHEN I,14.0,0
1991717,2016-01-26,43,BEAUTY,1.0,0
2873586,2017-06-05,37,GROCERY I,4565.0,42
1161343,2014-10-15,44,CLEANING,2723.0,1
1902719,2015-12-06,46,BREAD/BAKERY,1346.449,1
726405,2014-02-13,40,DELI,174.0,0
859310,2014-04-29,2,MAGAZINES,0.0,0
1557923,2015-05-27,21,PET SUPPLIES,0.0,0
1102926,2014-09-12,6,AUTOMOTIVE,4.0,0
495015,2013-10-05,48,HOME AND KITCHEN I,0.0,0
1974412,2016-01-16,8,"LIQUOR,WINE,BEER",296.0,0
561085,2013-11-11,51,LADIESWEAR,0.0,0
2696985,2017-02-26,31,PLAYERS AND ELECTRONICS,3.0,0
566606,2013-11-14,7,PREPARED FOODS,173.813,0
2262548,2016-06-26,42,BEAUTY,10.0,0
862202,2014-04-30,50,FROZEN FOODS,143.713,0
1518400,2015-05-05,13,BOOKS,0.0,0
111430,2013-03-04,35,"LIQUOR,WINE,BEER",28.0,0
2434358,2016-10-01,13,HARDWARE,2.0,0
2880202,2017-06-09,22,POULTRY,291.45,10
1265751,2014-12-13,24,BEVERAGES,4514.0,2
2802253,2017-04-26,35,PERSONAL CARE,84.0,37
142182,2013-03-21,48,HOME CARE,0.0,0
521438,2013-10-20,4,BREAD/BAKERY,593.641,0
621509,2013-12-15,47,LAWN AND GARDEN,16.0,0
1407615,2015-03-03,54,AUTOMOTIVE,3.0,0
1764012,2015-09-19,53,PRODUCE,1712.758,0
1057228,2014-08-18,23,CLEANING,663.0,0
867767,2014-05-03,7,SEAFOOD,58.501,0
2669433,2017-02-10,9,PRODUCE,1299.655,1
2184787,2016-05-14,10,"LIQUOR,WINE,BEER",18.0,0
664988,2014-01-10,18,BREAD/BAKERY,639.0,0
1836791,2015-10-30,46,FROZEN FOODS,230.626,2
2637853,2017-01-24,22,SCHOOL AND OFFICE SUPPLIES,0.0,0
1906202,2015-12-08,43,MAGAZINES,0.0,0
1503439,2015-04-26,42,PERSONAL CARE,0.0,0
1295840,2014-12-31,18,PREPARED FOODS,31.0,0
1099818,2014-09-11,18,PLAYERS AND ELECTRONICS,4.0,0
2163991,2016-05-02,27,HOME AND KITCHEN II,12.0,0
2179619,2016-05-11,16,BEAUTY,1.0,0
8610,2013-01-05,5,PRODUCE,0.0,0
1007693,2014-07-21,33,BREAD/BAKERY,339.0,0
2471794,2016-10-22,13,POULTRY,177.299,0
2430882,2016-09-29,16,BEVERAGES,845.0,7
2335445,2016-08-06,38,BEAUTY,14.0,0
1976653,2016-01-18,20,LADIESWEAR,0.0,0
768729,2014-03-09,28,PLAYERS AND ELECTRONICS,9.0,0
936405,2014-06-11,32,PRODUCE,0.0,0
2247019,2016-06-17,7,HOME AND KITCHEN II,13.0,1
1545811,2015-05-20,31,PERSONAL CARE,215.0,0
1814471,2015-10-18,2,SEAFOOD,48.949,0
410078,2013-08-19,15,LAWN AND GARDEN,0.0,0
1171033,2014-10-21,16,POULTRY,87.465004,0
1972228,2016-01-15,46,HOME AND KITCHEN II,85.0,1
2797549,2017-04-23,53,CLEANING,1226.0,40
1544147,2015-05-19,35,FROZEN FOODS,54.0,0
2073981,2016-03-12,50,PRODUCE,2718.738,0
539943,2013-10-30,9,PRODUCE,0.0,0
1768074,2015-09-22,19,AUTOMOTIVE,9.0,0
1396412,2015-02-25,4,HOME APPLIANCES,0.0,0
2228349,2016-06-07,32,MEATS,69.438995,0
304698,2013-06-20,9,DELI,461.889,0
178597,2013-04-11,20,BABY CARE,0.0,0
2821718,2017-05-07,31,LAWN AND GARDEN,4.0,0
1129669,2014-09-27,6,GROCERY II,76.0,0
730050,2014-02-15,42,MEATS,0.0,0
1876562,2015-11-22,12,HOME APPLIANCES,1.0,0
2335242,2016-08-06,31,PRODUCE,1284.624,2
1763730,2015-09-19,46,GROCERY I,10539.0,9
1247662,2014-12-03,16,SCHOOL AND OFFICE SUPPLIES,0.0,0
376336,2013-07-31,19,BOOKS,0.0,0
1484091,2015-04-15,5,HOME AND KITCHEN I,22.0,0
1204342,2014-11-08,50,CLEANING,2257.0,0
146316,2013-03-24,14,PLAYERS AND ELECTRONICS,0.0,0
734041,2014-02-17,54,"LIQUOR,WINE,BEER",5.0,0
1939447,2015-12-28,27,BOOKS,0.0,0
1500151,2015-04-24,50,BOOKS,0.0,0
1415817,2015-03-08,34,HOME CARE,0.0,0
1481442,2015-04-14,26,CELEBRATION,0.0,0
1368062,2015-02-09,44,HARDWARE,7.0,0
666267,2014-01-10,52,PRODUCE,0.0,0
2470376,2016-10-21,23,PREPARED FOODS,28.735,1
1727,2013-01-01,8,FROZEN FOODS,0.0,0
1935424,2015-12-26,14,CLEANING,1852.0,0
2790555,2017-04-19,8,DELI,299.816,4
1602262,2015-06-21,16,GROCERY II,9.0,0
1228574,2014-11-22,30,HOME APPLIANCES,0.0,0
1988134,2016-01-24,42,HOME AND KITCHEN II,21.0,1
1095046,2014-09-08,34,CLEANING,1013.0,2
190713,2013-04-18,10,CELEBRATION,0.0,0
619123,2013-12-14,30,EGGS,110.0,0
179360,2013-04-11,41,BREAD/BAKERY,161.773,0
2426760,2016-09-26,5,CELEBRATION,24.0,0
248871,2013-05-20,41,HOME CARE,0.0,0
1582857,2015-06-10,21,GROCERY I,0.0,0
2185399,2016-05-14,28,CLEANING,1537.0,16
2995705,2017-08-13,13,SCHOOL AND OFFICE SUPPLIES,12.0,6
1714623,2015-08-23,19,DELI,318.0,0
1377844,2015-02-15,19,POULTRY,40.843,0
557474,2013-11-09,50,BREAD/BAKERY,509.714,0
136658,2013-03-18,43,BREAD/BAKERY,230.0,0
896687,2014-05-20,19,FROZEN FOODS,14.0,0
1947534,2016-01-01,53,CELEBRATION,0.0,0
2974465,2017-08-01,18,EGGS,200.0,1
2059720,2016-03-04,50,PERSONAL CARE,512.0,6
1670097,2015-07-29,2,AUTOMOTIVE,8.0,0
195279,2013-04-20,38,HOME CARE,0.0,0
2466198,2016-10-18,7,DELI,116.361,0
1200648,2014-11-06,47,DELI,409.652,2
1208139,2014-11-10,8,DELI,243.883,1
562900,2013-11-12,52,LADIESWEAR,0.0,0
66354,2013-02-07,20,MEATS,0.0,0
1926403,2015-12-20,10,POULTRY,287.211,0
1744058,2015-09-08,44,DAIRY,1846.0,4
2386118,2016-09-04,1,LAWN AND GARDEN,0.0,0
824252,2014-04-09,36,FROZEN FOODS,37.0,0
1565157,2015-05-31,25,AUTOMOTIVE,3.0,0
1641180,2015-07-12,8,MEATS,443.954,0
2639748,2017-01-25,26,GROCERY I,1513.0,57
2445974,2016-10-07,39,HARDWARE,1.0,0
2300749,2016-07-18,14,"LIQUOR,WINE,BEER",18.0,0
677473,2014-01-17,18,HOME AND KITCHEN II,14.0,0
1180573,2014-10-26,33,SCHOOL AND OFFICE SUPPLIES,0.0,0
2435124,2016-10-01,34,LINGERIE,1.0,0
2446920,2016-10-08,16,BEVERAGES,1265.0,7
1055454,2014-08-17,23,HOME AND KITCHEN I,0.0,0
591654,2013-11-29,1,PRODUCE,8.0,0
2874550,2017-06-06,14,LADIESWEAR,0.0,0
877734,2014-05-09,37,AUTOMOTIVE,4.0,0
355602,2013-07-19,36,PLAYERS AND ELECTRONICS,0.0,0
578451,2013-11-21,39,PLAYERS AND ELECTRONICS,0.0,0
2456606,2016-10-13,37,LAWN AND GARDEN,12.0,0
530633,2013-10-25,47,PET SUPPLIES,0.0,0
448625,2013-09-09,46,MAGAZINES,0.0,0
987950,2014-07-10,29,PREPARED FOODS,0.0,0
1423804,2015-03-12,9,LADIESWEAR,0.0,0
1917191,2015-12-14,51,MAGAZINES,26.0,0
2147993,2016-04-23,28,MAGAZINES,4.0,0
2844859,2017-05-20,30,POULTRY,133.429,1
419746,2013-08-24,36,LADIESWEAR,0.0,0
164171,2013-04-03,15,PREPARED FOODS,20.0,0
1047050,2014-08-12,37,PET SUPPLIES,0.0,0
2990181,2017-08-09,9,HOME CARE,359.0,7
2160098,2016-04-30,18,HOME APPLIANCES,1.0,0
2841893,2017-05-18,47,SEAFOOD,64.89,1
2543054,2016-12-01,13,DAIRY,273.0,13
276456,2013-06-05,16,HOME AND KITCHEN I,0.0,0
2557400,2016-12-09,15,SEAFOOD,5.0,0
1930996,2015-12-22,4,BABY CARE,0.0,0
562543,2013-11-12,42,PERSONAL CARE,0.0,0
451011,2013-09-11,14,AUTOMOTIVE,0.0,0
1132649,2014-09-29,39,MAGAZINES,0.0,0
1785724,2015-10-02,13,POULTRY,107.308,11
1289768,2014-12-27,47,PREPARED FOODS,304.82,0
1866245,2015-11-16,22,PREPARED FOODS,40.0,0
913575,2014-05-29,42,BEVERAGES,0.0,0
2946162,2017-07-16,23,LINGERIE,1.0,0
125699,2013-03-12,36,BEAUTY,0.0,0
1683681,2015-08-05,5,LINGERIE,20.0,0
2240451,2016-06-14,22,HOME AND KITCHEN I,45.0,0
112793,2013-03-05,23,SEAFOOD,16.248001,0
882729,2014-05-12,27,GROCERY I,2707.0,0
1242471,2014-11-30,20,LINGERIE,0.0,0
130929,2013-03-15,32,HOME CARE,0.0,0
1892323,2015-11-30,54,BOOKS,0.0,0
1002432,2014-07-18,35,MEATS,148.765,0
1620966,2015-07-01,40,CELEBRATION,11.0,0
685391,2014-01-21,4,HARDWARE,2.0,0
2174981,2016-05-08,35,HOME APPLIANCES,0.0,0
147286,2013-03-24,41,CLEANING,752.0,0
994840,2014-07-14,22,"LIQUOR,WINE,BEER",0.0,0
2086271,2016-03-19,46,FROZEN FOODS,356.862,0
2274673,2016-07-03,32,HOME AND KITCHEN II,2.0,0
1329121,2015-01-18,51,GROCERY II,36.0,0
1771345,2015-09-24,10,BOOKS,0.0,0
342493,2013-07-12,19,LADIESWEAR,0.0,0
751686,2014-02-27,5,GROCERY I,2624.0,0
2685607,2017-02-20,13,BABY CARE,0.0,0
1800433,2015-10-10,26,LADIESWEAR,5.0,0
1855017,2015-11-09,8,LINGERIE,25.0,0
666447,2014-01-10,9,GROCERY I,3490.471,0
1768374,2015-09-22,27,BEVERAGES,2094.0,7
1640013,2015-07-12,25,GROCERY I,1752.0,5
117027,2013-03-07,42,DELI,0.0,0
2592949,2016-12-30,13,CLEANING,1000.0,31
206202,2013-04-26,44,HOME CARE,0.0,0
2761465,2017-04-03,40,PERSONAL CARE,390.0,15
381912,2013-08-03,25,BEVERAGES,1180.0,0
279915,2013-06-07,13,DELI,100.0,0
2456508,2016-10-13,34,LINGERIE,4.0,0
1800700,2015-10-10,33,"LIQUOR,WINE,BEER",51.0,0
2340180,2016-08-09,20,HOME CARE,294.0,8
551177,2013-11-06,24,FROZEN FOODS,154.585,0
2114390,2016-04-04,35,HARDWARE,1.0,0
541085,2013-10-31,40,HOME APPLIANCES,0.0,0
2529733,2016-11-23,39,LADIESWEAR,4.0,0
845575,2014-04-21,34,HOME AND KITCHEN II,0.0,0
1531777,2015-05-12,38,HOME AND KITCHEN II,8.0,0
278701,2013-06-06,29,HOME AND KITCHEN II,0.0,0
2348873,2016-08-14,14,SEAFOOD,0.0,0
1608986,2015-06-24,54,BREAD/BAKERY,188.0,0
155371,2013-03-29,19,CLEANING,662.0,0
2793666,2017-04-21,44,HOME CARE,576.0,5
1510575,2015-04-30,43,AUTOMOTIVE,8.0,0
2359246,2016-08-19,6,EGGS,144.0,29
1215636,2014-11-15,18,HOME AND KITCHEN I,11.0,0
2547491,2016-12-03,37,MAGAZINES,11.0,0
650914,2014-01-02,22,"LIQUOR,WINE,BEER",0.0,0
827140,2014-04-11,17,POULTRY,200.52,0
1889443,2015-11-29,23,POULTRY,310.928,0
2721306,2017-03-12,14,PLAYERS AND ELECTRONICS,12.0,0
1434565,2015-03-19,10,"LIQUOR,WINE,BEER",11.0,0
679949,2014-01-18,37,HOME APPLIANCES,1.0,0
1028377,2014-08-02,13,SCHOOL AND OFFICE SUPPLIES,0.0,0
176110,2013-04-09,5,"LIQUOR,WINE,BEER",31.0,0
2405946,2016-09-15,16,HOME AND KITCHEN I,10.0,0
1477195,2015-04-11,7,HOME AND KITCHEN II,7.0,0
1816631,2015-10-19,30,HARDWARE,2.0,0
1829648,2015-10-26,45,PREPARED FOODS,238.948,0
710501,2014-02-04,44,FROZEN FOODS,392.505,0
2889228,2017-06-14,26,GROCERY I,1162.0,40
1387053,2015-02-20,27,PRODUCE,7.0,0
128452,2013-03-14,13,HOME AND KITCHEN II,0.0,0
81966,2013-02-15,9,PLAYERS AND ELECTRONICS,0.0,0
1476056,2015-04-11,24,SEAFOOD,41.699,0
2301502,2016-07-18,35,HOME AND KITCHEN II,4.0,0
1537635,2015-05-15,52,AUTOMOTIVE,0.0,0
110310,2013-03-03,53,MEATS,0.0,0
1898249,2015-12-04,20,MAGAZINES,1.0,0
1003615,2014-07-19,19,LADIESWEAR,15.0,0
2136243,2016-04-16,48,LINGERIE,3.0,0
345838,2013-07-14,12,SCHOOL AND OFFICE SUPPLIES,0.0,0
1026349,2014-07-31,7,HOME AND KITCHEN II,7.0,0
1192195,2014-11-02,10,BOOKS,0.0,0
1091502,2014-09-06,34,PLAYERS AND ELECTRONICS,9.0,0
2261293,2016-06-25,8,BABY CARE,0.0,0
1704375,2015-08-17,30,MEATS,61.875,0
2531222,2016-11-24,30,MAGAZINES,0.0,0
825312,2014-04-10,16,HOME AND KITCHEN I,0.0,0
2811676,2017-05-01,5,EGGS,128.0,2
347302,2013-07-14,53,EGGS,0.0,0
2593858,2016-12-30,38,PERSONAL CARE,456.0,11
